"platName","compname","avg_revenue","投资期限","注册资金","自动投标","债权转让","资金托管","投标保障","保障模式","担保机构","业务类型","xingzhi","考察报告","risk_capital","user_capital","if_tuoguan","platId","allPlatPin","problem_time","online_tine","re_capital","origin","待收金额","涉及人数","event"
"广融在线","grzx","22%",NA,"500万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,275,"guangrongzaixian",NA,NA,NA,NA,NA,NA,"1"
"广通贷","gtd",NA,"2月标(40.0%)、1月标(40.0%)等","5100万元","支持","不可转让","无托管","逾期垫付保本保息",NA,"济宁恒丰投资担保有限公司(承保2000万)",NA,"民营系",NA,NA,NA,0,2218,"guangtongdai","2016.02","2015.04","5100.00万元","山东","NA","NA","跑路"
"广西东盟贷","gxdmd","21%","1月标(70.0%)、2月标(30.0%)","1000万元","支持","随时","无托管","100％本息保障","小贷公司、融资性担保公司、平台垫付",NA,"个人信用贷(10%)、车贷(40%)、房贷(50%)","民营系",NA,NA,NA,0,293,"guangxidongmengdai",NA,NA,NA,NA,NA,NA,"1"
"广信贷","gxd","13.99%","1月标(61.0%)、3月标(24.2%)等","5000万元","支持","不可转让","无托管","本息保障","担保机构+风险准备金+抵押物",NA,NA,"民营系","2015.7.16北京广信贷参观考察报告【盈灿咨询】2015-07-16",NA,NA,0,165,"guangxindai",NA,NA,NA,NA,NA,NA,"1"
"广亿贷","gyd","21.6%",NA,"1000万元","不支持","不可转让","无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,338,"guangyidai",NA,NA,NA,NA,NA,NA,"1"
"广裕贷","gyd1","18.87%","1月标(30.1%)、3月标(26.0%)等","5000万元",NA,NA,"无托管",NA,NA,NA,NA,"民营系",NA,NA,NA,0,811,"guangyudai",NA,NA,NA,NA,NA,NA,"1"
"广州e贷","gzed","11.32%","6月标(47.2%)、4-6月标(23.9%)等","12000万元","支持","随时","风险准备金托管托管机构为平安银行","VIP本金保障","风险准备金(1075.1万元)",NA,NA,"上市公司系",NA,"平安银行",NA,1,799,"guangzhouedai",NA,NA,NA,NA,NA,NA,"1"
"广州贷","gzd","18%","1月标(40.0%)、2月标(30.0%)等","1000万元","支持","随时","无托管","VIP保本保息","平台垫付、风险准备金(1000万元)",NA,"车贷(25%)、房贷(25%)、银行过桥(25%)、债券流转(25%)","民营系",NA,NA,NA,0,1726,"guangzhoudai",NA,NA,NA,NA,NA,NA,"1"
"贵福财富","gfcf",NA,NA,"1000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,2338,"guifucaifu","2014.01","2013.11","1000.00万元","陕西","NA","NA","提现困难"
"贵禄财富","glcf",NA,NA,"20000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3305,"guilucaifu","2015.1","2015.08","20000.00万元","上海","NA","NA","跑路"
"贵人贷","grd1",NA,NA,"5008万元","支持","随时","无托管","VIP保本保息","平台垫付",NA,"个人信用贷(20%)、车贷(30%)、房贷(40%)、供应链(10%)","民营系",NA,NA,NA,0,3506,"guirendai",NA,NA,NA,NA,NA,NA,"1"
"贵州网贷","gzwd","22.5%","1月标(50.0%)、3月标(50.0%)","5000万元","不支持",NA,"无托管",NA,"风险准备金(500万元)",NA,"车贷(70%)、房贷(30%)","民营系",NA,NA,NA,0,2770,"guizhouwangdai",NA,NA,NA,NA,NA,NA,"1"
"桂融贷","grd2",NA,NA,"8000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3887,"guirongdai","2015.12","2015.07","8000.00万元","广西","NA","NA","跑路"
"国安贷","gad",NA,NA,"1500万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3399,"guoandai","2014.09","2013.08","500.00万元","山东","NA","NA","提现困难，老板失联"
"国诚金融","gcjr","13.96%","4-6月标(45.8%)、1月标(19.3%)等","5000万元","支持","随时","无托管","风险准备金保障","平台垫付、专注于消费金融与房产抵押的互联网金融",NA,"个人信用贷(49%)、房贷(51%)","民营系",NA,NA,NA,0,311,"guochengjinrong",NA,NA,NA,NA,NA,NA,"1"
"国创投资","gctz",NA,NA,"5000万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3146,"guochuangtouzi","2015.01","NA","5000.00万元","上海","NA","NA","跑路"
"国贷网","gdw8","13%","3月标(80.0%)、1月标(10.0%)等","10000万元","不支持","随时","用户资金托管托管机构为易宝支付","抵押物担保","小贷公司",NA,"车贷(100%)","民营系",NA,NA,"易宝支付",1,4169,"guodaiwang",NA,NA,NA,NA,NA,NA,"1"
"国鼎投融","gdtr",NA,NA,"500万元",NA,NA,"无托管",NA,NA,NA,NA,NA,NA,NA,NA,0,3546,"guodingtourong","2015.11","2013.08","500.00万元","浙江","NA","NA","跑路"
"国富通","gft","12.6%",NA,"3000万元","不支持",NA,"无托管","VIP本息保障","小贷公司、融资性担保公司、平台垫付、风险准备金(1000万元)",NA,"个人信用贷(25%)、车贷(30%)","民营系",NA,NA,NA,0,824,"guofutong",NA,NA,NA,NA,NA,NA,"1"
